2012-01-29 14:24:36,165 | INFO  | OS     : Mac OS X 10.7.2 | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:36,167 | INFO  | JVM    : OpenJDK 64-Bit Server VM 1.7.0-b210 (Oracle Corporation) | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:36,168 | INFO  | Apollo : 1.1-SNAPSHOT | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:36,169 | INFO  | OS is restricting the open file limit to: 10240 | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:36,180 | WARN  | Please increase the process file limit using 'ulimit -n 10500' or configure lower connection limits on the broker connectors. | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:36,240 | INFO  | Starting store: leveldb store at /Users/chirino/sandbox/activemq-apollo/apollo-stomp/target/leveldb-test-data | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-2
2012-01-29 14:24:36,409 | INFO  | Accepting connections at: tcp://0.0.0.0:52564 | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:36,865 | INFO  | Opening the log file took: 380.34 ms | org.apache.activemq.apollo.broker.store.leveldb.LevelDBClient | leveldb store io write
2012-01-29 14:24:37,163 | INFO  | Starting broker is waiting on start broker: default | org.apache.activemq.apollo.util.LoggingTracker | hawtdispatch-DEFAULT-1
2012-01-29 14:24:37,242 | INFO  | virtual host startup is waiting on store startup | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:37,288 | INFO  | Took 0.00 second(s) to recover 0 operations in the log file. | org.apache.activemq.apollo.broker.store.leveldb.LevelDBClient | leveldb store io write
2012-01-29 14:24:38,264 | INFO  | virtual host startup is now waiting on store purge | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:38,663 | INFO  | virtual host startup is no longer waiting.  It waited a total of 2 seconds. | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:38,918 | INFO  | Administration interface available at: http://127.0.0.1:52565/ | org.apache.activemq.apollo.log.console | Apollo Task
2012-01-29 14:24:38,919 | INFO  | Starting broker is no longer waiting.  It waited a total of 2 seconds. | org.apache.activemq.apollo.util.LoggingTracker | hawtdispatch-DEFAULT-1
2012-01-29 14:24:39,020 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52566 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:39,278 | INFO  | Shutting connection '/127.0.0.1:52566'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-3
2012-01-29 14:24:39,287 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52567 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:39,288 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52566 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-3
2012-01-29 14:24:39,399 | INFO  | Shutting connection '/127.0.0.1:52567'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:39,400 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52567 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:39,401 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52568 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-3
2012-01-29 14:24:39,412 | INFO  | Shutting connection '/127.0.0.1:52568'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:39,412 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52568 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:39,413 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52569 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-3
2012-01-29 14:24:40,549 | INFO  | Shutting connection '/127.0.0.1:52569'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,550 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52569 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-1
2012-01-29 14:24:40,552 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52570 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-1
2012-01-29 14:24:40,571 | INFO  | Shutting connection '/127.0.0.1:52570'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,572 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52570 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,577 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52571 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-1
2012-01-29 14:24:40,611 | INFO  | Shutting connection '/127.0.0.1:52571'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,612 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52571 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,614 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52572 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-1
2012-01-29 14:24:40,620 | INFO  | STOMP connection '/127.0.0.1:52572' error: The destination does not exist. | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,631 | INFO  | connected: local:/127.0.0.1:52564, remote:/127.0.0.1:52573 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-1
2012-01-29 14:24:40,631 | INFO  | Shutting connection '/127.0.0.1:52572'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,632 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52572 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-2
2012-01-29 14:24:40,646 | INFO  | STOMP connection '/127.0.0.1:52573' error: Durable subscription does not exist | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-3
2012-01-29 14:24:40,649 | INFO  | Shutting connection '/127.0.0.1:52573'  down due to: java.io.EOFException: Peer disconnected | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-3
2012-01-29 14:24:40,649 | INFO  | disconnected: local:/127.0.0.1:52564, remote:/127.0.0.1:52573 | org.apache.activemq.apollo.log.connection | hawtdispatch-DEFAULT-3
2012-01-29 14:24:40,662 | INFO  | Stopped connector at: tcp://0.0.0.0:0 | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-2
2012-01-29 14:24:41,655 | INFO  | Stopping broker is waiting on stop broker: default | org.apache.activemq.apollo.util.LoggingTracker | hawtdispatch-DEFAULT-1
2012-01-29 14:24:41,664 | INFO  | virtual host shutdown is waiting on stop leveldb store at /Users/chirino/sandbox/activemq-apollo/apollo-stomp/target/leveldb-test-data | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:41,721 | INFO  | virtual host shutdown is no longer waiting.  It waited a total of 1 seconds. | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 14:24:41,721 | INFO  | Stopping broker is no longer waiting.  It waited a total of 1 seconds. | org.apache.activemq.apollo.util.LoggingTracker | hawtdispatch-DEFAULT-1
2012-01-29 23:37:51,110 | INFO  | OS     : Mac OS X 10.7.2 | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
2012-01-29 23:37:51,129 | INFO  | JVM    : OpenJDK 64-Bit Server VM 1.7.0-b210 (Oracle Corporation) | org.apache.activemq.apollo.log.console | hawtdispatch-DEFAULT-1
